,price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize,cluster
384,7999,26213,1,1,2017,0,0,78.5,1.5,2
385,11699,18678,1,0,2018,1,145,54.3,1.0,0
386,13799,1715,0,0,2018,1,145,45.6,1.0,0
387,15999,5153,1,2,2019,1,145,60.1,1.0,0
388,11999,3409,1,1,2019,1,145,55.4,1.1,0
389,15699,6195,1,1,2019,1,145,60.1,1.0,0
390,16399,935,0,0,2019,1,145,45.6,1.0,0
391,8199,30510,1,1,2017,1,150,54.3,1.2,2
392,17799,1524,1,0,2019,1,150,51.4,1.0,0
393,8300,23255,1,1,2017,1,0,65.7,1.0,2
394,11250,6746,1,2,2017,1,20,60.1,1.0,0
395,7999,12410,1,0,2016,1,125,52.3,1.0,0
396,13100,11581,1,1,2018,1,145,55.4,1.0,0
397,9700,12955,1,1,2017,1,0,65.7,1.0,0
398,7400,15589,1,1,2014,1,30,54.3,1.2,0
399,10400,25400,1,2,2017,0,0,74.3,1.5,2
400,10800,22965,0,2,2017,1,125,51.4,1.0,0
401,8200,31272,1,1,2016,1,0,65.7,1.0,2
402,11000,27878,1,2,2017,0,0,74.3,1.5,2
403,6995,34645,1,1,2015,1,125,54.3,1.2,2
404,10495,8311,1,2,2016,0,0,74.3,1.5,0
405,9495,6600,1,0,2015,1,160,44.8,1.5,0
406,6495,48704,1,1,2013,1,0,65.7,1.0,2
407,11495,15344,1,1,2018,1,145,65.7,1.0,0
408,8300,38043,1,1,2016,1,0,65.7,1.0,2
409,8500,22637,1,1,2017,1,0,65.7,1.0,0
410,10300,36500,1,1,2015,1,150,47.9,1.6,2
411,10700,10000,1,1,2019,1,150,55.4,1.1,0
412,8500,41904,1,2,2015,1,20,60.1,1.0,2
413,11000,14621,1,2,2017,0,0,74.3,1.5,0
414,8350,46935,1,2,2015,1,20,60.1,1.0,2
415,16500,19709,1,2,2017,1,145,41.5,2.0,0
416,7700,54803,1,2,2015,1,20,60.1,1.0,3
417,12500,12500,1,1,2018,1,145,49.6,1.0,0
418,10500,30933,1,2,2017,1,145,60.1,1.0,2
419,8300,18381,1,2,2015,1,20,60.1,1.0,0
420,9650,23300,1,2,2017,1,20,60.1,1.0,0
421,11500,34468,0,2,2017,0,0,67.3,1.5,2
422,12300,11173,1,1,2018,1,150,56.5,1.0,0
423,11100,42500,0,2,2017,0,145,67.3,1.5,2
424,10900,7342,1,1,2019,1,145,55.4,1.1,0
425,9000,22311,0,1,2014,1,0,57.7,1.0,0
426,7600,17838,1,1,2016,1,125,54.3,1.2,0
427,10200,29550,1,1,2016,1,145,47.9,1.6,2
428,12600,12663,1,1,2019,1,145,58.9,1.0,0
429,12199,17954,1,2,2017,0,150,74.3,1.5,0
430,16799,433,0,0,2019,1,150,45.6,1.0,0
431,17399,246,0,0,2019,1,150,45.6,1.0,0
432,11999,12485,1,2,2017,1,150,60.1,1.0,0
433,8500,23676,1,1,2016,1,20,62.8,1.0,2
434,8700,15000,1,1,2016,1,0,65.7,1.0,0
